authorDisplayName,textDisplay,textDisplayAdj,scores,neg_score,pos_score,neu_score,compound_score,sentiment,publishedAt
@fabiancamargo5545,What an amazing story!! and what an amazing character design! Please share the name of the artists behind Jué!,amazing story amazing character design please share name artist behind ju,"{'neg': 0.0, 'neu': 0.531, 'pos': 0.469, 'compound': 0.9227}",0.0,0.469,0.531,0.9227,positive,2024-07-02T15:48:31Z
@prothreera7643,Please don&#39;t make videos combining MMC and FMC. Please make separate videos for each MC.,please make video combining mmc fmc please make separate video mc,"{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.5574}",0.0,0.261,0.739,0.5574,positive,2024-07-02T15:39:44Z
@GXAnna_bs,Fix the crashing on mobile please,fix crashing mobile please,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.3182}",0.0,0.315,0.685,0.3182,positive,2024-07-02T15:33:04Z
@Naidayo,"nice work kuro! <a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a>",nice work kuro,"{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.4753}",0.0,0.436,0.564,0.4753,positive,2024-07-02T15:27:09Z
@Zarutoo,1.1 update is lag on mobile please fix it,update lag mobile please fix,"{'neg': 0.205, 'neu': 0.598, 'pos': 0.197, 'compound': -0.0258}",0.205,0.197,0.598,-0.0258,neutral,2024-07-02T15:01:01Z
@amirulhakim9021,i would love more british accent /any other accent in this game,would love british accent accent game,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.6369}",0.0,0.276,0.724,0.6369,positive,2024-07-02T14:46:13Z
@beasthunter4003,Damn jué... you need to be gentle with our magistrate lol,damn ju need gentle magistrate lol,"{'neg': 0.165, 'neu': 0.488, 'pos': 0.348, 'compound': 0.4588}",0.165,0.348,0.488,0.4588,positive,2024-07-02T14:20:38Z
@GameOnline16,"&quot;𝐋𝐨𝐫𝐝 𝐀𝐫𝐛𝐢𝐭𝐞𝐫&quot;...wow...that hit so so hard<br>why Kuro? such huge info shouldn&#39;t be revealed in 1.1, this to hasty😭",wow hit hardwhy kuro huge info revealed hasty,"{'neg': 0.127, 'neu': 0.779, 'pos': 0.094, 'compound': -0.2023}",0.127,0.094,0.779,-0.2023,negative,2024-07-02T13:47:52Z
@avyivy,The voice acting is really top g<br>I really love how it is clear how strong is jinshi determination...<br>How he feels the excruating pain to hold even a fraction of time it self.<br><br>When i was wacthing the cutscene i trully feel the goosse bumps as if i were truly there..<br>Perhaps it because of me wearing and airphone an my room was dark so i was immersed in it.,voice acting really top gi really love clear strong jinshi determination feel excruating pain hold even fraction time self wacthing cutscene trully feel goosse bump truly perhaps wearing airphone room dark immersed,"{'neg': 0.041, 'neu': 0.766, 'pos': 0.193, 'compound': 0.9019}",0.041,0.193,0.766,0.9019,positive,2024-07-02T13:46:47Z
@devmoon1302,1.1 story quest was peak,story quest peak,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-02T13:30:58Z
@swezuyan,the ost reminds me of lucia hikari ost,ost reminds lucia hikari ost,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-02T13:21:25Z
@tchlet8401,"<a href=""https://www.youtube.com/watch?v=fYKlOyzU740&amp;t=43"">0:43</a><br>male rover looks so cool here<br>👌",male rover look cool,"{'neg': 0.0, 'neu': 0.39, 'pos': 0.61, 'compound': 0.8551}",0.0,0.61,0.39,0.8551,positive,2024-07-02T13:18:05Z
@continentalcosplay1243,I’ve realized they just want to make us cry in each update. We keep “exing” our best friends each up date. It’s like that 40 day count down is the next time they’re gonna hit us again with another epic tearful adventure. I’m a masochist,realized want make u cry update keep exing best friend date like day count next time gon na hit u another epic tearful adventure masochist,"{'neg': 0.101, 'neu': 0.664, 'pos': 0.234, 'compound': 0.765}",0.101,0.234,0.664,0.765,positive,2024-07-02T13:05:05Z
@plumpy7419,Ps5 RELEAEE!,p releaee,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-02T13:03:27Z
@gogokew,wuthering waves please release a new 5 star character that use pistols and is pink/havoc🙏🏻🙏🏻🙏🏻,wuthering wave please release new star character use pistol pink havoc,"{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.3182}",0.0,0.073,0.927,0.3182,positive,2024-07-02T13:02:56Z
@michaelchan2575,Goosebumps literally goosebumps 😍,goosebump literally goosebump,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.4588}",0.0,0.333,0.667,0.4588,positive,2024-07-02T12:56:24Z
@Hiruma_,"The already insane visuals in this game have been improved by a lot in 1.1. I took so many screenshots. And the music is sooooo good. Its a night and day difference to the music of 1.0 and exactly what I was hoping for. It&#39;s sad but also really beautiful. I&#39;m also very happy that they improved the English dub in terms of direction and audio mixing. Bravo, Kuro Games! Absolutely magical.",already insane visuals game improved lot took many screenshots music good night day difference music exactly hoping sad also really beautiful also happy improved english dub term direction audio mixing bravo kuro game absolutely magical,"{'neg': 0.044, 'neu': 0.715, 'pos': 0.242, 'compound': 0.9624}",0.044,0.242,0.715,0.9624,positive,2024-07-02T12:48:36Z
@coveofpentagrams2671,This was peak moment,peak moment,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-02T12:46:55Z
@Uldan1988,"&quot;LADY ARBITER&quot; , English VA FTW",lady arbiter english va ftw,"{'neg': 0.0, 'neu': 0.573, 'pos': 0.427, 'compound': 0.5766}",0.0,0.427,0.573,0.5766,positive,2024-07-02T12:41:05Z
@minkhantkyaw6911,Peak cinematics ❤,peak cinematics,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}",0.0,0.583,0.417,0.6369,positive,2024-07-02T12:40:32Z
@fariza01,"I GOT JINHSI TODAY!!! MAN, I ALMOST CRIED TWT I&#39;M SO HAPPYYY<br><br>But now I don&#39;t know how to play her lol I don&#39;t have yinlin or an upgraded sub dps compatible w her.",got jinhsi today man almost cried twt happybut know play lol yinlin upgraded sub dp compatible w,"{'neg': 0.095, 'neu': 0.753, 'pos': 0.152, 'compound': 0.3189}",0.095,0.152,0.753,0.3189,positive,2024-07-02T12:40:21Z
@user-kv8nk3dn6m,the problem was yangyang fr,problem yangyang fr,"{'neg': 0.403, 'neu': 0.597, 'pos': 0.0, 'compound': -0.4019}",0.403,0.0,0.597,-0.4019,negative,2024-07-02T12:31:18Z
@Ssecave,great cinematic. A huge improvement over the 1.0 game. The only thing a bit weird is the sound mixing. Especially the voices.,great cinematic huge improvement game thing bit weird sound mixing especially voice,"{'neg': 0.058, 'neu': 0.619, 'pos': 0.323, 'compound': 0.8271}",0.058,0.323,0.619,0.8271,positive,2024-07-02T12:29:35Z
@wholethedogsout880,"Very disappointed that you guys only posted male rover version on twitter and no female rover version… you could’ve easily posted both of them in one tweet, making it two separate clips on one post. But ig y’all feel the need to give that man everything and leave female rover in the dust",disappointed guy posted male rover version twitter female rover version could easily posted one tweet making two separate clip one post ig feel need give man everything leave female rover dust,"{'neg': 0.091, 'neu': 0.878, 'pos': 0.03, 'compound': -0.3392}",0.091,0.03,0.878,-0.3392,negative,2024-07-02T12:08:21Z
@skipnap,imagine people who haven&#39;t finished the quest watching this 💀,imagine people finished quest watching,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-02T11:56:48Z
@wholethedogsout880,YOU SHOULD ALWAYS INCLUDE BOTH ROVERS WHEN YOU POST CUTSCENES AND YOU SHOULD ALWAYS INCLUDE BOTH ROVERS IN OFFICIAL VERSION UPDATE POSTERS,always include rover post cutscenes always include rover official version update poster,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-02T11:55:46Z
@sparklingcutie,"I&#39;m a JP enjoyer, but the EN cast did improvement in this patch. Wish there is more emotion of both of the Rovers&#39; voice though, for me it was very lacking even if they only have like 1-2 lines only.",jp enjoyer en cast improvement patch wish emotion rover voice though lacking even like line,"{'neg': 0.0, 'neu': 0.705, 'pos': 0.295, 'compound': 0.9283}",0.0,0.295,0.705,0.9283,positive,2024-07-02T11:50:26Z
@wholethedogsout880,“Lacking” what do you want her to do ? She had no lines that warranted screaming or crying. She was emotional enough with the lines she was given bffr,lacking want line warranted screaming cry emotional enough line given bffr,"{'neg': 0.227, 'neu': 0.69, 'pos': 0.083, 'compound': -0.7184}",0.227,0.083,0.69,-0.7184,negative,2024-07-02T12:07:21Z
@pacharaworapong8351,Please make many more cinematics like this. It&#39;s really very good. ❤,please make many cinematics like really good,"{'neg': 0.0, 'neu': 0.409, 'pos': 0.591, 'compound': 0.9188}",0.0,0.591,0.409,0.9188,positive,2024-07-02T11:47:43Z
@aldrexluxford7312,It&#39;s very good Kuro nice one 👍,good kuro nice one,"{'neg': 0.0, 'neu': 0.49, 'pos': 0.51, 'compound': 0.7397}",0.0,0.51,0.49,0.7397,positive,2024-07-02T11:47:13Z
@hydashley3687,buff tacet field drops,buff tacet field drop,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-02T11:36:31Z
@SirSaif93,"That was an amazing story, but I can request the next character to have new skin color that something hoyo game missed",amazing story request next character new skin color something hoyo game missed,"{'neg': 0.111, 'neu': 0.794, 'pos': 0.095, 'compound': -0.1027}",0.111,0.095,0.794,-0.1027,negative,2024-07-02T11:33:57Z
@wholethedogsout880,Out of all the things to complain about,thing complain,"{'neg': 0.263, 'neu': 0.737, 'pos': 0.0, 'compound': -0.3612}",0.263,0.0,0.737,-0.3612,negative,2024-07-02T12:04:50Z
@Sakura2710,Is no one going to talk about that this dragon was once our pet and we created Jinzhou! That is too much info for me to handle!,one going talk dragon pet created jinzhou much info handle,"{'neg': 0.093, 'neu': 0.839, 'pos': 0.067, 'compound': -0.1984}",0.093,0.067,0.839,-0.1984,negative,2024-07-02T11:27:10Z
@thhoang2404,Please add Vietnamese to the game,please add vietnamese game,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.3182}",0.0,0.315,0.685,0.3182,positive,2024-07-02T11:07:50Z
@Noksen,1.1 story was phenomenal! &lt;3 Keep on cooking KURO!,story phenomenal keep cooking kuro,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-02T10:55:33Z
@micchiikirakira7913,I played with JP dub so when jinhsi screamed all I heard was Bocchi screaming 😂<br>Btw you’ve done a great great job with 1.1👏<br>Thank you KURO game.,played jp dub jinhsi screamed heard bocchi screaming btw done great great job thank kuro game,"{'neg': 0.153, 'neu': 0.563, 'pos': 0.284, 'compound': 0.7946}",0.153,0.284,0.563,0.7946,positive,2024-07-02T10:47:12Z
@TheXander2004,"lol fr, the scream was the one part where u can actually rlly tell its bocchi",lol fr scream one part u actually rlly tell bocchi,"{'neg': 0.138, 'neu': 0.718, 'pos': 0.144, 'compound': 0.0258}",0.138,0.144,0.718,0.0258,neutral,2024-07-03T10:06:18Z
@randyluz2088,Jinhsi is so badass I love her,jinhsi badass love,"{'neg': 0.0, 'neu': 0.397, 'pos': 0.603, 'compound': 0.8215}",0.0,0.603,0.397,0.8215,positive,2024-07-02T10:41:56Z
@imtiazzulfadzli,"I cant get used to English Dub. Because i watch to many anime Japan dub sound best for me. Jue story got me off feet very much. Beautifully made, every moment is art.",cant get used english dub watch many anime japan dub sound best jue story got foot much beautifully made every moment art,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.8473}",0.0,0.209,0.791,0.8473,positive,2024-07-02T10:23:44Z
@wholethedogsout880,"Omg you’re anime weeaboo Japanese dub brained… you need to get over that crap. It doesn’t sound best or better. In Japanese dub they sound like caricatures of what real people should like. They sound like cartoons rather than humans. English dub feels more natural and human and down to earth, like we’re listening to real people interact. The disrespect to the English dub and the refusal to appreciate anything English dub must be studied",omg anime weeaboo japanese dub brained need get crap sound best better japanese dub sound like caricature real people like sound like cartoon rather human english dub feel natural human earth like listening real people interact disrespect english dub refusal appreciate anything english dub must studied,"{'neg': 0.058, 'neu': 0.699, 'pos': 0.243, 'compound': 0.945}",0.058,0.243,0.699,0.945,positive,2024-07-02T12:04:15Z
@toothfairy9242,This scene made me a Jinhsi main 😭,scene made jinhsi main,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.4767}",0.256,0.0,0.744,-0.4767,negative,2024-07-02T10:12:45Z
@serakazuki6818,"Hmm, maybe all Sentinel was one&#39;s rover allies...",hmm maybe sentinel one rover ally,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-02T10:09:18Z
@Panjulious,can we get changli fight cinematic too? can&#39;t get enough of her smile,get changli fight cinematic get enough smile,"{'neg': 0.161, 'neu': 0.683, 'pos': 0.155, 'compound': -0.0258}",0.161,0.155,0.683,-0.0258,neutral,2024-07-02T10:05:40Z
@GamerNemy,We are winning an Oscar with this one!🗣,winning oscar one,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.5707}",0.0,0.291,0.709,0.5707,positive,2024-07-02T09:56:52Z
@Twofix,Jue is a rascal. It actually lied about dying because it wants to test Jinhsi before transferring the power to her lmao.,jue rascal actually lied dying want test jinhsi transferring power lmao,"{'neg': 0.098, 'neu': 0.755, 'pos': 0.147, 'compound': 0.3182}",0.098,0.147,0.755,0.3182,positive,2024-07-02T09:47:06Z
@CoFF3e_Man,"Did they really? Jue only said her time has almost tan out now, so maybe they&#39;ll die in later patches",really jue said time almost tan maybe die later patch,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.6326}",0.18,0.0,0.82,-0.6326,negative,2024-07-02T12:58:32Z
@Twofix,"@@CoFF3e_Man If you let Rover talk to Jue after Jinhsi&#39;s fight, Jue will sprinkle some lore about Rover&#39;s past and said that it will help Jinhsi when she desperately need it in the future.",coff e man let rover talk jue jinhsi fight jue sprinkle lore rover past said help jinhsi desperately need future,"{'neg': 0.134, 'neu': 0.797, 'pos': 0.069, 'compound': -0.3612}",0.134,0.069,0.797,-0.3612,negative,2024-07-02T13:05:19Z
@CoFF3e_Man,"@@Twofix I know about that, but Jue...I think she&#39;ll die in this region&#39;s story",twofix know jue think die region story,"{'neg': 0.292, 'neu': 0.708, 'pos': 0.0, 'compound': -0.7469}",0.292,0.0,0.708,-0.7469,negative,2024-07-02T13:09:27Z
@Twofix,"@@CoFF3e_Man Aight...we shall wait and see. Hopefully, it won&#39;t die and become a playable character instead.",coff e man aight shall wait see hopefully die become playable character instead,"{'neg': 0.189, 'neu': 0.68, 'pos': 0.131, 'compound': -0.296}",0.189,0.131,0.68,-0.296,negative,2024-07-02T13:51:39Z
@kiansharefzadh5097,Oh kuro please im just waiting for ps5 version 😢,oh kuro please im waiting p version,"{'neg': 0.215, 'neu': 0.625, 'pos': 0.16, 'compound': -0.2023}",0.215,0.16,0.625,-0.2023,negative,2024-07-02T09:43:16Z
@alayshiarivera9814,Already finished the storyline it was amazing🎉,already finished storyline amazing,"{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.7579}",0.0,0.481,0.519,0.7579,positive,2024-07-02T09:41:39Z
@sas.k0247,Idk if i should get her or not... She looks just so majestic not to get her while i also want Changli😢,idk get look majestic get also want changli,"{'neg': 0.168, 'neu': 0.784, 'pos': 0.049, 'compound': -0.4939}",0.168,0.049,0.784,-0.4939,negative,2024-07-02T09:34:14Z
@Hrupix,Thanks for showing male and female Rover version! But could you please link other language versions in your description?,thanks showing male female rover version could please link language version description,"{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.636}",0.0,0.234,0.766,0.636,positive,2024-07-02T09:32:53Z
@randomdudeinindonesia9831,Why kuro upload a spoiler?,kuro upload spoiler,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-02T09:19:07Z
@CoFF3e_Man,The title already warned you that it&#39;s a spoiler mate🤦,title already warned spoiler mate,"{'neg': 0.16, 'neu': 0.84, 'pos': 0.0, 'compound': -0.2732}",0.16,0.0,0.84,-0.2732,negative,2024-07-02T12:59:42Z
@randomdudeinindonesia9831,"​@@CoFF3e_Manif im the only one who complain about it, then its my bad<br><br>But lets just see how many people that upset being spoiled about it in the comment section",coff e manif im one complain badbut let see many people upset spoiled comment section,"{'neg': 0.159, 'neu': 0.841, 'pos': 0.0, 'compound': -0.6249}",0.159,0.0,0.841,-0.6249,negative,2024-07-02T13:11:57Z
@elavie8220,You know it&#39;s good when the goosebump went up top to your head,know good goosebump went top head,"{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.5719}",0.0,0.299,0.701,0.5719,positive,2024-07-02T09:05:58Z
@Professional5-tmj,Can we all say &quot;we love Kuro&quot; in union?,say love kuro union,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.6369}",0.0,0.344,0.656,0.6369,positive,2024-07-02T08:55:33Z
@painitela,"The cinematics looks insanely good, but I unfortunately can&#39;t play the story because of the lag.",cinematics look insanely good unfortunately play story lag,"{'neg': 0.267, 'neu': 0.516, 'pos': 0.217, 'compound': -0.2846}",0.267,0.217,0.516,-0.2846,negative,2024-07-02T08:52:00Z
@snehasissarkar6599,THE STORY IS MIND-BLOWING AND I AM SURE IT&#39;S GONNA GET BETTER❤❤❤,story mind blowing sure gon na get better,"{'neg': 0.0, 'neu': 0.403, 'pos': 0.597, 'compound': 0.9651}",0.0,0.597,0.403,0.9651,positive,2024-07-02T08:45:32Z
@dragonboy4599,I love that they include both rover&#39;s this time......🔥🔥🔥🐉,love include rover time,"{'neg': 0.353, 'neu': 0.441, 'pos': 0.206, 'compound': -0.25}",0.353,0.206,0.441,-0.25,negative,2024-07-02T08:37:04Z
@hkplayz001,Jinshi so fricking cute man! And I got her which is huge W,jinshi fricking cute man got huge w,"{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.7322}",0.0,0.359,0.641,0.7322,positive,2024-07-02T08:31:07Z
@AroundWayOther,had a great time playing this quest! trying to get jinhsis weapon for herrrrr,great time playing quest trying get jinhsis weapon,"{'neg': 0.113, 'neu': 0.567, 'pos': 0.319, 'compound': 0.6114}",0.113,0.319,0.567,0.6114,positive,2024-07-02T08:30:14Z
@hkplayz001,That dragon looksss insanee!!,dragon look insanee,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-02T08:29:37Z
@speedwagon914,And to know that this wasn&#39;t even their fated clash 😢 gonna be more heartbreaking,know even fated clash gon na heartbreaking,"{'neg': 0.313, 'neu': 0.687, 'pos': 0.0, 'compound': -0.7501}",0.313,0.0,0.687,-0.7501,negative,2024-07-02T08:24:18Z
@senjaisudin9693,LET KURO COOK!!!,let kuro cook,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-02T08:21:35Z
@Toxic_MF911,"Dang, they really released this for people who cant play the game due to lag",dang really released people cant play game due lag,"{'neg': 0.254, 'neu': 0.746, 'pos': 0.0, 'compound': -0.5324}",0.254,0.0,0.746,-0.5324,negative,2024-07-02T08:19:13Z
@JDumbz,"Phenomenal story quest, so much better then Genshin. Action, Peak Cinema, a good non-dreadful pacing to catch up on collection farming, the future is bright!",phenomenal story quest much better genshin action peak cinema good non dreadful pacing catch collection farming future bright,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.8508}",0.0,0.296,0.704,0.8508,positive,2024-07-02T08:17:58Z
@Buy_YouTube_Views_Gain_Fame301,"Do not stop doing what you love, you are very good at ti!",stop love good ti,"{'neg': 0.0, 'neu': 0.511, 'pos': 0.489, 'compound': 0.8616}",0.0,0.489,0.511,0.8616,positive,2024-07-02T08:09:58Z
@ninja_skyruby,both male and female.... love it,male female love,"{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}",0.0,0.457,0.543,0.6369,positive,2024-07-02T08:01:01Z
@southernsand1061,Just beautiful to watch! ❤,beautiful watch,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.8553}",0.0,0.677,0.323,0.8553,positive,2024-07-02T07:58:38Z
@azharshaik461,"<a href=""https://www.youtube.com/watch?v=fYKlOyzU740&amp;t=110"">1:50</a> to <a href=""https://www.youtube.com/watch?v=fYKlOyzU740&amp;t=129"">2:09</a>  Those screams gave me chills, the VA did a phenomenal job.",scream gave chill va phenomenal job,"{'neg': 0.146, 'neu': 0.854, 'pos': 0.0, 'compound': -0.3736}",0.146,0.0,0.854,-0.3736,negative,2024-07-02T07:55:09Z
@peacechan4500,Its a start kuro. A lot to be desire more but its a start. <br><br>Eng VA also better but not by much JP is vastly superior,start kuro lot desire start eng va also better much jp vastly superior,"{'neg': 0.077, 'neu': 0.626, 'pos': 0.297, 'compound': 0.8293}",0.077,0.297,0.626,0.8293,positive,2024-07-02T07:51:17Z
@williamthatsmyname,Since Jinshi is now our grand child; can we spoil her with infinite candy? 🍭🍬,since jinshi grand child spoil infinite candy,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.4588}",0.0,0.167,0.833,0.4588,positive,2024-07-02T07:49:38Z
@patrickwijaya727,"this is only the 1.1 story and yet tis so damn phenomenal and I cant stop listening to the musics !! kuro rlly cooked for this update. Cant imagine how the next story can be more amazing than this one. but I trust kuro, WE TRUST KURO !!",story yet ti damn phenomenal cant stop listening music kuro rlly cooked update cant imagine next story amazing one trust kuro trust kuro,"{'neg': 0.037, 'neu': 0.712, 'pos': 0.251, 'compound': 0.9314}",0.037,0.251,0.712,0.9314,positive,2024-07-02T07:47:01Z
@CAPIMOMOW,"kuro games, can u fix the cam zooming after casting introskill. thx",kuro game u fix cam zooming casting introskill thx,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.3612}",0.0,0.185,0.815,0.3612,positive,2024-07-02T07:46:04Z
@jjjj2260,The story just doesnt make sense,story doesnt make sense,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-02T07:39:23Z
@MostafaEsk-sb5bo,Why the spoiling the quest?,spoiling quest,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-02T07:39:21Z
@Dext69,I think playing this game as female rover is more fun as mostly the side characters are female so you can sink into the game playing as female rover.,think playing game female rover fun mostly side character female sink game playing female rover,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.7346}",0.0,0.217,0.783,0.7346,positive,2024-07-02T07:38:52Z
@YourFriendIyNeighbour,I wish i picked the male rover 😭😭,wish picked male rover,"{'neg': 0.328, 'neu': 0.529, 'pos': 0.143, 'compound': -0.5423}",0.328,0.143,0.529,-0.5423,negative,2024-07-02T07:34:43Z
@sreejitghosh6990,THIS IS TRULY OUR WUTHERING WAVES,truly wuthering wave,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}",0.0,0.367,0.633,0.4404,positive,2024-07-02T07:25:34Z
@shianime,i love this one kuro,love one kuro,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}",0.0,0.512,0.488,0.6369,positive,2024-07-02T07:15:30Z
@yunsha9986,Always knew Male Rover was the real MC all along,always knew male rover real mc along,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-02T07:09:54Z
@The4thDescender,"Both male and female are real, they even put two cutscenes here for both of them.",male female real even put two cutscenes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-02T07:29:53Z
@yunsha9986,"@@The4thDescender Yes but the first one in the video is always important to note, because Kurogames expects that most people would generally skip the repeat scene with other model. Hence why one can deduce male MC is canon. Else kurogames would simply put the 2 versions in separate videos.",thdescender yes first one video always important note kurogames expects people would generally skip repeat scene model hence one deduce male mc canon else kurogames would simply put version separate video,"{'neg': 0.0, 'neu': 0.921, 'pos': 0.079, 'compound': 0.4678}",0.0,0.079,0.921,0.4678,positive,2024-07-02T07:43:41Z
@The4thDescender,"@@yunsha9986 Hm, fair enough.",yunsha hm fair enough,"{'neg': 0.0, 'neu': 0.566, 'pos': 0.434, 'compound': 0.3182}",0.0,0.434,0.566,0.3182,positive,2024-07-02T07:46:25Z
@ugh5281,"@@yunsha9986 that&#39;s not really a strong argument bc in some advertising, art, etc. they sometimes only highlight the male rover and other times only the female rover. they have said both rovers are equally canon and have treated them as such. saying &quot;male rover is the real mc bc he appears first&quot; is nothing but your personal speculation. they&#39;re both equally featured, that&#39;s what matters.",yunsha really strong argument bc advertising art etc sometimes highlight male rover time female rover said rover equally canon treated saying male rover real mc bc appears first nothing personal speculation equally featured matter,"{'neg': 0.057, 'neu': 0.901, 'pos': 0.042, 'compound': -0.2467}",0.057,0.042,0.901,-0.2467,negative,2024-07-09T18:34:02Z
@kaji4517,"I didn&#39;t have plan to pull Jihnsi but the story, man. She&#39;s absolutely cute and brave. So I pulled for her. Absolute cinema.",plan pull jihnsi story man absolutely cute brave pulled absolute cinema,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.8869}",0.0,0.31,0.69,0.8869,positive,2024-07-02T07:08:57Z
@praenomenXcognomen,No whyd they make big lizard speak like the granny bird from The Genshin Impact. kuso shouldve given the big lizard ara ara milf voice.,whyd make big lizard speak like granny bird genshin impact kuso shouldve given big lizard ara ara milf voice,"{'neg': 0.079, 'neu': 0.83, 'pos': 0.09, 'compound': 0.0772}",0.079,0.09,0.83,0.0772,positive,2024-07-02T07:05:50Z
@asumasarutobi6373,very very very beautiful cinematic🤩,beautiful cinematic,"{'neg': 0.0, 'neu': 0.514, 'pos': 0.486, 'compound': 0.6942}",0.0,0.486,0.514,0.6942,positive,2024-07-02T07:04:58Z
@ja01n7r8,I liked the background voice,liked background voice,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.4215}",0.0,0.412,0.588,0.4215,positive,2024-07-02T07:04:18Z
@kalanjayshrivastava5248,I guess I should try this,guess try,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-02T06:52:30Z
@Komi1corno,"Now that&#39;s a memorable OST, the 1.0 had a lack of it but i love that this one plays on Mt Firmament, keep doing this awesome work please! And PLEASE keep giving Rover more lines, it makes the scenes more interesting when they have voice",memorable ost lack love one play mt firmament keep awesome work please please keep giving rover line make scene interesting voice,"{'neg': 0.024, 'neu': 0.543, 'pos': 0.433, 'compound': 0.9846}",0.024,0.433,0.543,0.9846,positive,2024-07-02T06:50:34Z
@wholethedogsout880,We should all aim for rover to be fully voiced one day! Make to include that in your game feedback,aim rover fully voiced one day make include game feedback,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,neutral,2024-07-02T11:56:42Z
